# sensor register page map  2026-08-15T17:34:40+10:00
page     nonzero  driver?   first few non-zero
0x3000   20       written    02=0x21 03=0x6c 04=0x20 05=0x42 0b=0x56
0x3100   6        written    01=0x32 04=0x01 05=0x11 06=0x15 07=0x01
0x3200   4        UNTOUCHED  01=0x08 02=0x10 03=0x18 0c=0x0a
0x3300   128      UNTOUCHED  04=0x28 05=0xf1 06=0x30 07=0x04 09=0x28
0x3500   56       written    01=0x3f 03=0x08 05=0x83 08=0x05 09=0x05
0x3600   33       written    00=0x66 01=0x40 02=0x30 03=0x0c 10=0xa5
0x3700   101      written    00=0x10 01=0x08 02=0x1d 03=0x0e 04=0x06
0x3800   31       written    04=0x0a 05=0x3f 06=0x07 07=0xb7 08=0x05
0x3c00   18       written    80=0x08 83=0xb1 85=0x0f 86=0x08 87=0x08
0x3d00   10       UNTOUCHED  81=0x30 82=0x80 83=0x08 84=0x80 85=0x37
0x3e00   7        UNTOUCHED  02=0x0f 03=0xdb 04=0x14 06=0x03 07=0x20
0x3f00   7        UNTOUCHED  00=0x0b 02=0x08 03=0x10 04=0x40 05=0x10
0x4000   38       written    00=0x03 01=0xe0 03=0x40 05=0x02 07=0x02
0x4100   38       UNTOUCHED  00=0x03 01=0xe0 03=0x40 05=0x02 07=0x02
0x4300   2        UNTOUCHED  00=0xff 02=0x0f
0x4500   12       written    00=0x06 02=0x10 07=0x0a 09=0x06 0a=0x04
0x4800   32       written    07=0x03 08=0x18 09=0x04 0c=0x12 10=0xff
0x5000   14       written    00=0x77 01=0x0a 02=0x22 03=0xc8 18=0x0a
0x5700   86       written    80=0x3e 81=0x0f 82=0x44 83=0x02 84=0x01
0x5800   74       UNTOUCHED  00=0x14 01=0x0f 02=0x44 03=0x02 04=0x01
0x5a00   9        UNTOUCHED  04=0x0c 05=0xe0 06=0x09 07=0xb0 08=0x06
0x5b00   18       written    00=0x01 01=0x10 02=0x01 03=0xdb 04=0x42
0x5e00   3        written    10=0xfc 12=0x03 13=0x3d
