# ov5678/ov5675 register dump
# 2026-08-15T17:23:43+10:00  bus i2c-1  addr 0x36
0x5000 0x77
0x5001 0x0a
0x5002 0x22
0x5003 0xc8
0x5004 0x00
0x5005 0x00
0x5006 0x00
0x5007 0x00
0x5008 0x00
0x5009 0x00
0x500a 0x00
0x500b 0x00
0x500c 0x00
0x500d 0x00
0x500e 0x00
0x500f 0x00
0x5010 0x00
0x5011 0x00
0x5012 0x00
0x5013 0x00
0x5014 0x00
0x5015 0x00
0x5016 0x00
0x5017 0x00
0x5018 0x0a
0x5019 0x04
0x501a 0x00
0x501b 0x04
0x501c 0x00
0x501d 0x04
0x501e 0x00
0x501f 0x04
0x5020 0x00
0x5021 0x04
0x5022 0x00
0x5023 0x04
0x5024 0x00
0x5025 0x18
0x5026 0x2a
0x5027 0x00
0x5028 0x00
0x5029 0x00
0x502a 0x00
0x502b 0x00
0x502c 0x00
0x502d 0x00
0x502e 0x00
0x502f 0x00
0x5030 0x41
0x5031 0x00
0x5032 0x00
0x5033 0x00
0x5034 0x00
0x5035 0x00
0x5036 0x00
0x5037 0x00
0x5038 0x00
0x5039 0x00
0x503a 0x00
0x503b 0x00
0x503c 0x00
0x503d 0x00
0x503e 0x00
0x503f 0x00
0x5040 0x00
0x5041 0x00
0x5042 0x00
0x5043 0x00
0x5044 0x00
0x5045 0x00
0x5046 0x00
0x5047 0x00
0x5048 0x00
0x5049 0x00
0x504a 0x00
0x504b 0x00
0x504c 0x00
0x504d 0x00
0x504e 0x00
0x504f 0x00
0x5050 0x00
0x5051 0x00
0x5052 0x00
0x5053 0x00
0x5054 0x00
0x5055 0x00
0x5056 0x00
0x5057 0x00
0x5058 0x00
0x5059 0x00
0x505a 0x00
0x505b 0x00
0x505c 0x00
0x505d 0x00
0x505e 0x00
0x505f 0x00
0x5060 0x00
0x5061 0x00
0x5062 0x00
0x5063 0x00
0x5064 0x00
0x5065 0x00
0x5066 0x00
0x5067 0x00
0x5068 0x00
0x5069 0x00
0x506a 0x00
0x506b 0x00
0x506c 0x00
0x506d 0x00
0x506e 0x00
0x506f 0x00
0x5070 0x00
0x5071 0x00
0x5072 0x00
0x5073 0x00
0x5074 0x00
0x5075 0x00
0x5076 0x00
0x5077 0x00
0x5078 0x00
0x5079 0x00
0x507a 0x00
0x507b 0x00
0x507c 0x00
0x507d 0x00
0x507e 0x00
0x507f 0x00
0x5080 0x00
0x5081 0x00
0x5082 0x00
0x5083 0x00
0x5084 0x00
0x5085 0x00
0x5086 0x00
0x5087 0x00
0x5088 0x00
0x5089 0x00
0x508a 0x00
0x508b 0x00
0x508c 0x00
0x508d 0x00
0x508e 0x00
0x508f 0x00
0x5090 0x00
0x5091 0x00
0x5092 0x00
0x5093 0x00
0x5094 0x00
0x5095 0x00
0x5096 0x00
0x5097 0x00
0x5098 0x00
0x5099 0x00
0x509a 0x00
0x509b 0x00
0x509c 0x00
0x509d 0x00
0x509e 0x00
0x509f 0x00
0x50a0 0x00
0x50a1 0x00
0x50a2 0x00
0x50a3 0x00
0x50a4 0x00
0x50a5 0x00
0x50a6 0x00
0x50a7 0x00
0x50a8 0x00
0x50a9 0x00
0x50aa 0x00
0x50ab 0x00
0x50ac 0x00
0x50ad 0x00
0x50ae 0x00
0x50af 0x00
0x50b0 0x00
0x50b1 0x00
0x50b2 0x00
0x50b3 0x00
0x50b4 0x00
0x50b5 0x00
0x50b6 0x00
0x50b7 0x00
0x50b8 0x00
0x50b9 0x00
0x50ba 0x00
0x50bb 0x00
0x50bc 0x00
0x50bd 0x00
0x50be 0x00
0x50bf 0x00
0x50c0 0x00
0x50c1 0x00
0x50c2 0x00
0x50c3 0x00
0x50c4 0x00
0x50c5 0x00
0x50c6 0x00
0x50c7 0x00
0x50c8 0x00
0x50c9 0x00
0x50ca 0x00
0x50cb 0x00
0x50cc 0x00
0x50cd 0x00
0x50ce 0x00
0x50cf 0x00
0x50d0 0x00
0x50d1 0x00
0x50d2 0x00
0x50d3 0x00
0x50d4 0x00
0x50d5 0x00
0x50d6 0x00
0x50d7 0x00
0x50d8 0x00
0x50d9 0x00
0x50da 0x00
0x50db 0x00
0x50dc 0x00
0x50dd 0x00
0x50de 0x00
0x50df 0x00
0x50e0 0x00
0x50e1 0x00
0x50e2 0x00
0x50e3 0x00
0x50e4 0x00
0x50e5 0x00
0x50e6 0x00
0x50e7 0x00
0x50e8 0x00
0x50e9 0x00
0x50ea 0x00
0x50eb 0x00
0x50ec 0x00
0x50ed 0x00
0x50ee 0x00
0x50ef 0x00
0x50f0 0x00
0x50f1 0x00
0x50f2 0x00
0x50f3 0x00
0x50f4 0x00
0x50f5 0x00
0x50f6 0x00
0x50f7 0x00
0x50f8 0x00
0x50f9 0x00
0x50fa 0x00
0x50fb 0x00
0x50fc 0x00
0x50fd 0x00
0x50fe 0x00
0x50ff 0x00
